cnes;razao_social;nome_fantasia;logradouro;numero;bairro;CEP;codigo_municipio;latitude;londitude;referencia
0079634;E F DE BRITO BARBOSA                                        ;COIFE ODONTO                                                ;TRAVESSA DO XEREX                       ;12        ;CENTRO              ;62010270;231290;-3.674                        ;-40.239                       ;202104
0084603;PREFEITURA MUNICIPAL DE QUIXADA                             ;POSTO DE SAUDE DO PUTIU                                     ;RUA NOSSA SENHORA APARECIDA             ;S/N       ;PUTIU               ;63905300;231130;-4.9826742                    ;-39.0162857                   ;202104
0085480;V B LENZZI SERVICOS MEDICOS LTDA                            ;V B LENZZI SERVICOS MEDICOS                                 ;R CATULO DA PAIXAO CEARENSE             ;175       ;TRIANGULO           ;63041162;230730;-7.213                        ;-39.315                       ;202104
0085626;ECOGENESIS SERVICOS MEDICOS DE IMAGENS LTDA EPP             ;RADIOGENESIS                                                ;RUA GONCALVES LEDO                      ;777       ;CENTRO              ;60110261;230440;-3.730832                     ;-38.515822                    ;202104
0085634;SUPERIORE DENTISTAS ASSOCIADOS SS                           ;SUPERIORE ODONTOLOGIA                                       ;RUA CORONEL JUCA                        ;1295      ;ALDEOTA             ;60170288;230440;-3.743079                     ;-38.492815                    ;202104
0085642;SORRISAO CLINICA ODONTOLOGICA                               ;SORRISAO                                                    ;AVENIDA GOVERNADOR LEONEL BRIZOLA       ;513       ;JANGURUSSU          ;60866190;230440;-3.831862                     ;-38.521973                    ;202104
0085677;POSTO DE SAUDE DE SANTANA                                   ;POSTO DE SAUDE DE SANTANA                                   ;SITIO SANTANA                           ;S/N       ;ZONA RURAL          ;63430000;230540;-6.496464620640734            ;-38.63616943359375            ;202104
0085707;PULSAR CARDIOLOGIA LTDA                                     ;PULSAR CARDIOLOGIA LTDA                                     ;R PROFESSORA MARIA NILDE COUTO BEM      ;220       ;TRIANGULO           ;63041155;230730;-7.213                        ;-39.315                       ;202104
0086673;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;HOSPITAL ESTADUAL LEONARDO DA VINCI                         ;RUA ROCHA LIMA                          ;1563      ;ALDEOTA             ;60135285;230440;-3.7401699                    ;-38.5101139                   ;202104
0086878;L S OLIVEIRA SOUSA EIRELI                                   ;ODONTOCOMPANY                                               ;CORONEL CORREIA                         ;2089      ;CENTRO              ;61600004;230370;-3.7357496                    ;-38.6603448                   ;202104
0100358;MUNICIPIO DE SOBRAL                                         ;HOSPITAL DR FRANCISCO ALVES                                 ;RUA PAULO ARAGAO                        ;605       ;CENTRO              ;62011250;231290;-3.6855564                    ;-40.3457035                   ;202104
0104477;SECRETARIA MUNICIPAL DA SAUDE                               ;HOSPITAL DE CAMPANHA COVID 19 HOSP PRESIDENTE VARGAS        ;RUA MARECHAL DEODORO                    ;1187      ;BENFICA             ;60020061;230440;-3.7426213                    ;-38.536761                    ;202104
0106097;MUNICIPIO DE SAO GONCALO DO AMARANTE                        ;UNIDADE BASICA DE SAUDE FRANCISCA SANTINA PRATA MARTINS     ;RUA FRANCISCO PROCOPIO MARTINS          ;S/N       ;DISTRITO DO PECEM   ;62674000;231240;-3.5622084690126568           ;-38.87280464172363            ;202104
0106518;CLINICA PSIQUIATRA VIRTUDE CE LTDA                          ;CLINICA TERAPEUTICA VIRTUDE                                 ;RUA JUDITH MARTINS                      ;200       ;BAIXA GRANDE        ;61700000;230100;-3.9186495327538116           ;-38.451181516321135           ;202104
0106852;CLINICA SAO LUCAS LTDA                                      ;CLINICA SAO LUCAS                                           ;RUA LUIS GONZAGA JUNIOR                 ;348       ;CENTRO              ;63260000;230250;-7.488432                     ;-38.985058                    ;202104
0107239;PREFEITURA MUNICIPAL DE CASCAVEL                            ;UPA IRMA SILVEIRA                                           ;LOTEAMENTO ESPACO NOBRE                 ;S/N       ;ESPACO NOBRE        ;62850000;230350;-4.116693925915243            ;-38.245269656181335           ;202104
0107468;JEYSSE NAYARA BEZERRA LIMA SILVA                            ;CONS FISIOTERAPIA DRA JEYSSE LIMA                           ;RUA CEL FRANCISCO REMIGIO               ;1078      ;MONSENHOR OTAVIO    ;62930000;230760;-5.148520514095696            ;-38.09605836868286            ;202104
0107751;PREFEITURA MUNICIPAL DE SALITRE                             ;PONTO DE APOIO BARREIROS                                    ;SITIO BARREIROS                         ;S/N       ;ZONA RURAL          ;63155000;231195;-7.285                        ;-40.457                       ;202104
0113883;M T MELO MOREIRA SERVICOS MEDICOS                           ;TORRE FORTE SERVICOS                                        ;AV LAURINDO GOMES                       ;92        ;CENTRO              ;63650000;231126;-5.8458463                    ;-40.7037364                   ;202104
0114103;SANDRA SORAIA CARVALHO CAETANO                              ;SANDRA SORAIA CARVALHO CAETANO                              ;CATULO DA PAIXAO CEARENCE               ;135       ;TRIANGULO           ;63010970;230730;-7.213                        ;-39.315                       ;202104
0114227;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB MAURITI                                  ;RUA EREMITA SAMPAIO                     ;S/N       ;CENTRO              ;63210000;230810;-7.389                        ;-38.774                       ;202104
0114294;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB AIUABA                                   ;RUA ARMANDO ARRAES FEITOSA              ;10        ;CENTRO              ;63575000;230040;-6.574                        ;-40.124                       ;202104
0114308;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB AMONTADA                                 ;RUA JOAO JACINTO                        ;798       ;CAMPO               ;62540000;230075;-3.361                        ;-39.831                       ;202104
0114324;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB ARATUBA                                  ;RODOVIA JULIO COACY PEREIRA             ;S/N       ;CENTRO              ;62762000;230140;-4.418                        ;-39.045                       ;202104
0114332;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB ICO                                      ;RUA SAO JOSE                            ;1245      ;CENTRO              ;63430000;230540;-6.401                        ;-38.862                       ;202104
0114367;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USA ICO                                      ;RUA SAO JOSE                            ;1245      ;CENTRO              ;63430000;230540;-6.401                        ;-38.862                       ;202104
0114375;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB IRAUCUBA                                 ;RUA LUIS ANTONIO ARAUJO DE LIMA         ;S/N       ;CENTRO              ;62620000;230610;-3.746                        ;-39.783                       ;202104
0114391;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB JAGUARIBARA                              ;AV SEBASTIAO DANTAS                     ;133       ;CENTRO              ;63490000;230680;-5.658                        ;-38.62                        ;202104
0114421;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB LAVRAS DA MANGABEIRA                     ;RUA JOAO LUDGERO SOBREIRA               ;S/N       ;VILA BANCARAIA      ;63300000;230750;-6.753                        ;-38.972                       ;202104
0114464;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB MILAGRES                                 ;AV PEDRO LEITE DA CUNHA                 ;S/N       ;CENTRO              ;63250000;230830;-7.313                        ;-38.946                       ;202104
0114499;JN SERVICOS MEDICOS LTDA                                    ;JN SERVICOS MEDICOS                                         ;AVENIDA SENADOR VIRGILIO TAVORA         ;2377      ;DIONISIO TORRES     ;60165080;230440;-3.748808                     ;-38.497007                    ;202104
0114650;LABORATORIO CLEMENTINO FRAGA LTDA                           ;LABORATORIO CLEMENTINO FRAGA 13 DE MAIO                     ;AVENIDA TREZE DE MAIO                   ;1109      ;FATIMA              ;60040531;230440;-3.749584                     ;-38.529289                    ;202104
0114723;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB QUIXELO                                  ;RUA SAO FRANCISCO                       ;S/N       ;CENTRO              ;63515000;231135;-6.254                        ;-39.202                       ;202104
0114731;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB HIDROLANDIA                              ;RUA ANTONIO RODRIGUES MARROCOS          ;551       ;CAIXA DAGUA         ;62270000;230520;-4.408                        ;-40.438                       ;202104
0114812;HOSPITAL DE CAMPANHA COVID 19                               ;HOSPITAL DE CAMPANHA COVID 19                               ;RUA JOAO PAULO II                       ;96        ;CENTRO              ;61700000;230100;-3.9045915                    ;-38.3841177                   ;202104
0116297;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB ITATIRA                                  ;AV NOSSA SENHORA DO CARMO               ;S/N       ;LAGOA DO MATO       ;62720000;230660;-4.529                        ;-39.622                       ;202104
0116300;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB JARDIM                                   ;CE 060                                  ;S/N       ;SITIO AREIAS        ;63290000;230710;-7.582                        ;-39.298                       ;202104
0116319;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB CRATO 02                                 ;R ANTONIO PEREIRA                       ;S/N       ;ALTO DA PENHA       ;63104040;230420;-7.234                        ;-39.409                       ;202104
0116491;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB AURORA                                   ;AV ANTONIO RICARTE                      ;68        ;CENTRO              ;63360000;230170;-6.943                        ;-38.968                       ;202104
0116505;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB IBICUITINGA                              ;TRAVESSA DANIEL FREIRE                  ;1760      ;CENTRO              ;62955000;230533;-4.974                        ;-38.639                       ;202104
0116521;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB JAGUARETAMA                              ;RUA FRANCISCO ANTONIO PINHEIRO          ;8         ;CENTRO              ;63480000;230670;-5.613                        ;-38.767                       ;202104
0116556;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB GRANJA                                   ;UA JOAO PESSOA                          ;S/N       ;EXPOSICAO           ;62430000;230470;-3.12                         ;-40.826                       ;202104
0116564;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB CAMOCIM                                  ;RUA CARLOS TREVIA                       ;S/N       ;N S FATIMA          ;62400000;230260;-2.9150261                    ;-40.8551226                   ;202104
0116580;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USA CAMOCIM                                  ;RUA CARLOS TREVIA                       ;S/N       ;N S FATIMA          ;62400000;230260;-2.9150261                    ;-40.8551226                   ;202104
0116599;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB SANTA QUITERIA                           ;AV CORONEL MANOEL ALVES                 ;S/N       ;CENTRO              ;62280000;231220;-4.332                        ;-40.157                       ;202104
0116602;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB BARBALHA                                 ;R MADRE ILDUARA                         ;680       ;ALTO DA ALEGRIA     ;63180000;230190;-7.305                        ;-39.302                       ;202104
0116610;SECRETARIA DA SAUDE DO ESTADO DO CEARA                      ;SAMU 192 CEARA USB MIRAIMA                                  ;LUIS MATIAS                             ;S/N       ;CENTRO              ;62530000;230837;-3.569                        ;-39.97                        ;202104
