CAPITULO,COD_CID,DESCRICAO_CID,GRUPO
Capítulo I - Algumas doenças infecciosas e parasitárias,A038,Outras shigueloses,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A039,Shiguelose năo especificada,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A04,Outras infecçőes intestinais bactérianas,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A040,Infecçăo por Escherichia Coli enteropatogęnica,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A041,Infecçăo por Escherichia Coli enterotoxigęnica,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A042,Infecçăo por Escherichia Coli enteroinvasiva,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A043,Infecçăo por Escherichia Coli enterohemorrágica,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A044,Outras infecçőes intestinais por escherichia coli,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A045,Enterite por Campylobacter,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A046,Enterite devida a Yersinia enterocolítica,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A047,Enterocolite devida a Clostridium Difficile,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A048,Outras infecçőes bacterianas intestinais especificadas,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A049,Infecçăo intestinal bacteriana năo especificada,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A05,"Outras intoxicaçőes alimentares bacterianas, năo classificadas em outra parte",Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A050,Intoxicaçăo alimentar estafilocócica,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A051,Botulismo,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A052,Intoxicaçăo alimentar devida a Clostridium Perfringens [Clostridium Welchii],Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A053,Intoxicaçăo alimentar devida a Vibrio Parahemolyticus,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A054,Intoxicaçăo alimentar devida a Bacillus Cereus,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A058,Outras intoxicaçőes alimentares bacterianas especificadas,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A059,Intoxicaçăo alimentar bacteriana năo especificada,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A06,Amebiase,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A060,Disenteria amebiana aguda,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A061,Amebíase intestinal crônica,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A062,Colite amebiana năo-disentérica,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A063,Ameboma intestinal,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A064,Abscesso amebiano do fígado,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A065,Abscesso amebiano do pulmăo,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A066,Abscesso amebiano do cérebro,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A067,Amebíase cutânea,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A068,Infecçăo amebiana de outras localizaçőes,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A069,Amebíase năo especificada,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A07,Doenças intestinais por protozoários,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A070,Balantidíase,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A071,Giardíase [lamblíase],Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A072,Criptosporidiose,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A073,Isosporíase,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A078,Outras doenças intestinais especificadas por protozoários,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A079,Doença intestinal năo especificada por protozoários,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A08,Infecçőes intestinais virais outras e as năo especificadas,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A080,Enterite por rotavírus,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A081,Gastroenteropatia aguda pelo agente de Norwalk,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A082,Enterite por adenovírus,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A083,Outras enterites virais,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A084,Infecçăo intestinal devida a vírus năo especificado,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A085,Outras infecçőes intestinais especificadas,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A09,Diarréia e gastroenterite de origem infecciosa presumível,Doenças infecciosas intestinais
Capítulo I - Algumas doenças infecciosas e parasitárias,A15,Tuberculose respiratória com confirmaçăo bacteriológica e histológica,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A150,"Tuberculose pulmonar, com confirmaçăo por exame microscópico da expectoraçăo, com ou sem cultura",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A151,"Tuberculose pulmonar, com confirmaçăo somente por cultura",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A152,"Tuberculose pulmonar, com confirmaçăo histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A153,"Tuberculose pulmonar, com confirmaçăo por meio năo especificado",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A154,"Tuberculose dos gânglios intratorácicos, com confirmaçăo bacteriológica e histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmaçăo bacteriológica e histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A156,"Pleuris tuberculoso, com confirmaçăo bacteriológica e histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A157,"Tuberculose primária das vias respiratórias, com confirmaçăo bacteriológica e histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A158,"Outras formas de tuberculose das vias respiratórias, com confirmaçăo bacteriológica e histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A159,"Tuberculose năo especificada das vias respiratórias, com confirmaçăo bacteriológica e histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A16,Tuberculose das vias respiratórias sem confirmaçăo bacteriológica ou histológica,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A161,"Tuberculose pulmonar, sem realizaçăo de exame bacteriológico ou histológico",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A162,"Tuberculose pulmonar, sem mençăo de confirmaçăo bacteriológica ou histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A163,"Tuberculose dos gânglios intratorácicos, sem mençăo de confirmaçăo bacteriológica ou histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A164,"Tuberculose da laringe, traquéia e brônquios, sem mençăo de confirm. bacteriológica ou histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A165,"Pleurisia tuberculosa, sem mençăo de confirmaçăo bacteriológica ou histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A167,Tuberculosa respiratória primária sem mençăo de confirmaçăo bacteriológica ou histológica,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A168,"Outras formas de tubercul. das vias respirat., sem mençăo de confirm. bacteriológica ou histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A169,"Tuberculose respiratória, năo especificada, sem mençăo de confirmaçăo bacteriológica ou histológica",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A17,Meningite tuberculosa,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A170,Meningite tuberculosa,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A171,Tuberculoma meníngeo,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A178,Outras tuberculoses do sistema nervoso,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A179,Tuberculose năo especificada do sistema nervoso,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A18,Tuberculose de outros orgăos,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A180,Tuberculose óssea e das articulaçőes,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A181,Tuberculose do aparelho geniturinário,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A182,Linfadenopatia tuberculosa periférica,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A184,Tuberculose de pele e do tecido celular subcutâneo,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A185,Tuberculose do olho,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A186,Tuberculose do ouvido,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A187,Tuberculose das supra-renais,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A188,Tuberculose de outros órgăos especificados,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A19,Tuberculose miliar,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A190,Tuberculose miliar aguda de localizaçăo única e especificada,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A191,Tuberculose miliar aguda de múltiplas localizaçőes,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A192,Tuberculose miliar aguda năo especificada,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A198,Outras tuberculoses miliares,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A199,Tuberculose miliar năo especificada,Tuberculose
Capítulo I - Algumas doenças infecciosas e parasitárias,A20,Peste,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A200,Peste bubônica,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A201,Peste celulocutânea,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A202,Peste pneumônica,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A203,Peste meníngea,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A207,Peste septicęmica,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A208,Outras formas de peste,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A209,"Peste, forma năo especificada",Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A21,Tularemia,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A210,Tularemia ulceroglandular,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A211,Tularemia oculoglandular,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A212,Tularemia pulmonar,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A213,Tularemia gastrointestinal,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A217,Tularemia generalizada,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A218,Outras formas de tularemia,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A219,"Tularemia, forma năo especificada",Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A22,Carbúnculo,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A220,Carbúnculo cutâneo,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A221,Carbúnculo pulmonar,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A222,Carbúnculo gastrointestinal,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A227,Septicemia carbunculosa,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A228,Outras formas de carbúnculo,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A229,"Carbúnculo, forma năo especificada",Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A23,Brucelose,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A230,Brucelose por Brucella Melitensis,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A231,Brucelose por Brucella Abortus,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A232,Brucelose por Brucella Suis,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A233,Brucelose por Brucella Canis,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A238,Outras bruceloses,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A239,Brucelose năo especificada,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A24,Mormo e melioidose,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A240,Mormo,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A241,Melioidose aguda e fulminante,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A242,Melioidose subaguda e crônica,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A243,Outras melioidoses,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A244,Melioidose năo especificada,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A25,Febres transmitidas por mordedura de rato,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A250,Espirilose,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A251,Estreptobacilose,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A259,"Febre transmitida por mordedura de rato, tipo năo especificado",Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A26,Erisipelóide,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A260,Erisipelóide cutâneo,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A267,Septicemia por Erysipelothrix,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A268,Outras formas de erisipelóide,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A269,Erisipelóide năo especificado,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A27,Leptospirose,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A270,Leptopirose icterohemorrágica,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A278,Outras formas de leptospirose,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A279,Leptospirose năo especificada,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A28,Doenças bactérianas zoonóticas năo classificadas em outra parte,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A280,Pasteurelose,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A281,Doença por arranhadura do gato,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A282,Yersiniose extra-intestinal,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A288,Outras doenças bacterianas zoonóticas especificadas năo classificadas em outra parte,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A289,Doença bacteriana zoonótica năo especificada,Algumas doenças bacterianas zoonóticas
Capítulo I - Algumas doenças infecciosas e parasitárias,A30,Doença de Hansen (lepra),Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A300,Hanseníase [lepra] indeterminada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A301,Hanseníase [lepra] tuberculóide,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A302,Hanseníase [lepra] tuberculóide borderline,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A303,Hanseníase [lepra] dimorfa,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A304,Hanseníase [lepra] lepromatosa borderline,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A305,Hanseníase [lepra] lepromatosa,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A308,Outras formas de hanseníase [lepra],Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A309,Hanseníase [lepra] năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A31,Outras micobactérias,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A310,Infecçăo pulmonar micobacteriana,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A311,Infecçăo cutânea micobacteriana,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A318,Outras infecçőes micobacterianas,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A319,Infecçăo micobacteriana năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A32,Listeriose (listeriase),Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A320,Listeriose cutânea,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A321,Meningite e meningoencefalite por listéria,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A327,Septicemia listeriótica,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A328,Outras formas de listeriose,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A329,Listeriose năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A33,Tétano do recém-nascido [neonatal],Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A34,Tétano obstétrico,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A35,Outros tipos de tétano,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A36,Difteria,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A360,Difteria faríngea,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A361,Difteria nasofaríngea,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A362,Difteria laríngea,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A363,Difteria cutânea,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A368,Outras formas de difteria,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A369,Difteria năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A37,Coqueluche,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A370,Coqueluche por Bordetella Pertussis,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A371,Coqueluche por Bordetella Parapertussis,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A378,Coqueluche por outras espécies da Bordetella,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A379,Coqueluche năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A38,Escarlatina,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A39,Infecçăo meningogócica,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A390,Meningite meningocócica,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A391,Síndrome de Waterhouse-Friderichsen,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A392,Meningococcemia aguda,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A393,Meningococcemia crônica,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A394,Meningococcemia năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A395,Cardite por meningococos,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A398,Outras infecçőes por meningococos,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A399,Infecçăo meningocócica năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A40,Septicemia estreptocócica,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A400,Septicemia por Streptococcus do grupo A,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A401,Septicemia por Streptococcus do grupo B,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A402,Septicemia por Streptococcus do grupo D,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A403,Septicemia por Streptococcus pneumonia,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A408,Outras septicemias estreptocócicas,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A409,Septicemia estreptocócica năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A41,Outras septicemias,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A410,Septicemia por staphylococcus aureus,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A411,Septicemia por outros estafilococos especificados,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A412,Septicemia por estafilococos năo especificados,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A413,Septicemia por Haemophilus Influenzae,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A414,Septicemia por anaeróbios,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A415,Septicemia por outros microorganismos gram-negativos,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A418,Outras septicemias especificadas,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A419,Septicemia năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A42,Actinomicose,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A420,Actinomicose pulmonar,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A421,Actinomicose abdominal,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A422,Actinomicose cervicofacial,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A427,Septicemia actinomicótica,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A428,Outras formas de actinomicose,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A429,Actinomicose năo especificada,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A43,Nocardiose,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A430,Nocardiose pulmonar,Outras doenças bacterianas
Capítulo I - Algumas doenças infecciosas e parasitárias,A431,Nocardiose cutânea,Outras doenças bacterianas
