CHAVE;DS_REGRA
102010056;ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO
102010064;ANÁLISE DE PROJETOS BÁSICOS DE ARQUITETURA
102010072;CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
102010080;CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE
102010099;CANCELAMENTO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE
102010102;COLETA DE AMOSTRA P/ ANALISE DE CONTROLE
102010110;COLETA DE AMOSTRA P/ ANALISE FISCAL
102010129;EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO DE SAUDE
102010137;EMISSAO DE ALVARA DE LICENCIAMENTO SANITARIO P/ ESTABELECIMENTO EXCETO OS DE SAUDE
102010145;INSPEÇÃO SANITÁRIA DE HOSPITAIS
102010153;INVESTIGAÇÃO DE EVENTOS ADVERSOS E/OU QUEIXAS TÉCNICAS
102010161;EXCLUSÃO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA COM ATIVIDADES ENCERRADA
102010170;INSPEÇÃO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
102010188;LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS À VIGILÂNCIA SANITÁRIA
102010196;APROVAÇÃO DE PROJETOS BÁSICOS DE ARQUITETURA
102010200;INVESTIGAÇÃO DE SURTOS DE DOENÇAS TRANSMITIDAS POR ALIMENTOS
102010218;INVESTIGAÇÃO DE SURTOS DE INFECÇÃO EM SERVIÇOS DE SAÚDE
102010226;ATIVIDADE EDUCATIVA PARA A POPULAÇÃO
102010234;RECEBIMENTO DE DENÚNCIAS/RECLAMAÇÕES
102010242;ATENDIMENTO À DENÚNCIAS/RECLAMAÇÕES
102010250;CADASTRO DE HOSPITAIS
102010269;LICENCIAMENTO SANITÁRIO DE HOSPITAIS
102010277;CADASTRO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
102010285;INSPEÇÃO SANITÁRIA DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
102010293;LICENCIAMENTO SANITÁRIO DE INSTITUIÇÕES DE LONGA PERMANÊNCIA PARA IDOSOS
102010307;CADASTRO DE INDÚSTRIAS DE MEDICAMENTOS
102010315;INSPEÇÃO SANITÁRIA DE INDÚSTRIA DE MEDICAMENTOS
102010323;LICENCIAMENTO SANITÁRIO DE INDÚSTRIAS DE MEDICAMENTOS
102010331;CADASTRO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA
102010340;INSPEÇÃO SANITÁRIA DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAMA.
102010358;LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE DIAGNÓSTICO E TRATAMENTO DO CÂNCER DE COLO DE ÚTERO E MAM
102010366;CADASTRO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA
102010374;INSPEÇÃO SANITÁRIA DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA
102010382;LICENCIAMENTO SANITÁRIO DE SERVIÇOS HOSPITALARES DE ATENÇÃO AO PARTO E À CRIANÇA
102010390;CADASTRO DE SERVIÇOS DE HEMOTERAPIA
102010404;INSPEÇÃO SANITÁRIA DE SERVIÇOS DE HEMOTERAPIA
102010412;LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE HEMOTERAPIA
102010420;CADASTRO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA
102010439;INSPEÇÃO SANITÁRIA DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA
102010447;LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE TERAPIA RENAL SUBSTITUTIVA
102010455;CADASTRO DE SERVIÇOS DE ALIMENTAÇÃO
102010463;INSPEÇÃO SANITÁRIA DE SERVIÇOS DE ALIMENTAÇÃO
102010471;LICENCIAMENTO SANITÁRIO DE SERVIÇOS DE ALIMENTAÇÃO
102010480;FISCALIZAÇÃO DO USO DE PRODUTOS FUMÍGENOS DERIVADOS DO TABACO EM AMBIENTES COLETIVOS FECHADOS, PÚ
102010498;LAUDO DE ANÁLISE LABORATORIAL DO PROGRAMA DE MONITORAMENTO DE ALIMENTOS RECEBIDOS PELA VIGILÂNCIA S
102010501;ATIVIDADES EDUCATIVAS SOBRE A TEMÁTICA DA DENGUE,REALIZADAS PARA A POPULAÇÃO
102010510;ATIVIDADES EDUCATIVAS,COM RELAÇÃO AO CONSUMO DE SÓDIO, AÇÚCAR E GORDURAS, REALIZADAS PARA O SETO
102010528;INSTAURAÇÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO
102010536;CONCLUSÃO DE PROCESSO ADMINISTRATIVO SANITÁRIO
102010544;CADASTRO DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS
102010552;CADASTRO DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE
102010560;INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE INSUMOS FARMACÊUTICOS
102010579;INSPEÇÃO SANITÁRIA DE INDÚSTRIAS DE PRODUTOS PARA SAÚDE
102010587;IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO
102010595;IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS À INSPEÇÃO
102010609;IMPLEMENTAÇÃO DE PROCEDIMENTOS (POPS) HARMONIZADOS EM NÍVEL TRIPARTITE RELACIONADOS A INSPEÇÃO E
102010617;ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE MEDICAMENTOS À ANVISA
102010625;ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE INSUMOS FARMACÊUTICOS À ANVIS
102010633;ENVIO DE RELATÓRIOS DE INSPEÇÃO DE ESTABELECIMENTOS FABRICANTES DE PRODUTOS PARA SAÚDE À ANVISA
102010641;AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABEL
102010650;AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABEL
102010668;AUDITORIAS INTERNAS REALIZADAS NO DEPARTAMENTO RESPONSÁVEL PELAS ATIVIDADES DE INSPEÇÃO DE ESTABEL
102020019;VIGILÂNCIA DA SITUAÇÃO DE SAÚDE DOS TRABALHADORES
102020027;ATIVIDADE EDUCATIVA EM SAÚDE DO TRABALHADOR
102020035;INSPEÇÃO SANITÁRIA EM SAÚDE DO TRABALHADOR
201010011;AMNIOCENTESE
201010020;BIOPSIA / PUNCAO DE TUMOR SUPERFICIAL DA PELE
201010038;BIOPSIA CIRURGICA DE TIREOIDE
201010046;BIOPSIA DE ANUS E CANAL ANAL
201010054;BIOPSIA DE BACO POR PUNCAO / ASPIRACAO
201010062;BIOPSIA DE BEXIGA
201010070;BIOPSIA DE BOLSA ESCROTAL
201010089;BIOPSIA DE CONDUTO AUDITIVO EXTERNO
201010097;BIOPSIA DE CONJUNTIVA
201010100;BIOPSIA DE CORDAO ESPERMATICO (UNILATERAL)
201010119;BIOPSIA DE CORNEA
201010127;BIOPSIA DE CORPO VERTEBRAL A CEU ABERTO
201010135;BIOPSIA DE CORPO VERTEBRAL LAMINA E PEDICULO VERTEBRAL (POR DISPOSITIVO GUIADO)
201010143;BIOPSIA DE ENDOCARDIO / MIOCARDIO
201010151;BIOPSIA DE ENDOMETRIO
201010160;BIOPSIA DE ENDOMETRIO POR ASPIRACAO MANUAL INTRA-UTERINA
201010178;BIOPSIA DE EPIDIDIMO
201010186;BIOPSIA DE ESCLERA
201010194;BIOPSIA DE FARINGE/LARINGE
201010208;BIOPSIA DE FIGADO EM CUNHA / FRAGMENTO
201010216;BIOPSIA DE FIGADO POR PUNCAO
201010224;BIOPSIA DE GANGLIO LINFATICO
201010232;BIÓPSIA DE GLÂNDULA SALIVAR
201010240;BIOPSIA DE IRIS, CORPO CILIAR, RETINA, COROIDE, VITREO E TUMOR INTRA OCULAR
201010259;BIOPSIA DE LAMINA PEDICULO E PROCESSOS VERTEBRAIS (A CEU ABERTO)
201010267;BIOPSIA DE LESAO DE PARTES MOLES (POR AGULHA / CEU ABERTO)
201010275;BIOPSIA DE MEDULA OSSEA
201010283;BIOPSIA DE MUSCULO (A CEU ABERTO)
201010291;BIOPSIA DE NERVO
201010305;BIOPSIA DE OSSO / CARTILAGEM DA CINTURA ESCAPULAR (POR AGULHA / CEU ABERTO)
201010313;BIOPSIA DE OSSO / CARTILAGEM DA CINTURA PELVICA (POR AGULHA / CEU ABERTO)
201010321;BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO INFERIOR (POR AGULHA / CEU ABERTO)
201010330;BIOPSIA DE OSSO / CARTILAGEM DE MEMBRO SUPERIOR (POR AGULHA / CEU ABERTO)
201010348;BIÓPSIA DE OSSO DO CRÂNIO E DA FACE
201010356;BIOPSIA DE PALPEBRA
201010364;BIOPSIA DE PAVILHAO AURICULAR
201010372;BIOPSIA DE PELE E PARTES MOLES
201010380;BIOPSIA DE PENIS
201010399;BIOPSIA DE PIRAMIDE NASAL
201010402;BIOPSIA DE PLEURA (POR ASPIRAÇÃO/AGULHA / PLEUROSCOPIA)
201010410;BIOPSIA DE PROSTATA
201010429;BIOPSIA DE PULMAO POR ASPIRACAO
201010437;BIOPSIA DE RIM POR PUNCAO
201010445;BIOPSIA DE SEIO PARANASAL
201010453;BIOPSIA DE SINÓVIA
201010461;BIOPSIA DE TESTICULO
201010470;BIOPSIA DE TIREOIDE OU PARATIREOIDE - PAAF
201010488;BIOPSIA DE URETER
201010496;BIOPSIA DE URETRA
201010500;BIOPSIA/PUNÇÃO DE VAGINA
201010518;BIOPSIA/PUNÇÃO DE VULVA
201010526;BIÓPSIA DOS TECIDOS MOLES DA BOCA
201010534;BIOPSIA ESTEREOTAXICA
201010542;BIOPSIA PERCUTÂNEA ORIENTADA POR TOMOGRAFIA COMPUTADORIZADA / ULTRASSONOGRAFIA / RESSONÂNCIA MAGNÉ
201010550;BIOPSIA PRÉ-ESCALÊNICA
201010569;BIOPSIA/EXERESE DE NÓDULO DE MAMA
201010577;BIOPSIAS MULTIPLAS P/ ESTADIAMENTO
201010585;PUNÇÃO ASPIRATIVA DE MAMA POR AGULHA FINA
201010593;PUNÇÃO DE CISTERNA SUB-OCCIPITAL
201010607;PUNÇÃO DE MAMA POR AGULHA GROSSA
201010615;PUNÇÃO DE VAGINA
201010623;PUNÇÃO EXPLORADORA DO DEFERENTE
201010631;PUNÇÃO LOMBAR
201010640;PUNÇÃO P/ ESVAZIAMENTO
201010658;PUNÇÃO VENTRICULAR TRANSFONTANELA
201010666;BIOPSIA DO COLO UTERINO
201020017;COLETA DE LAVADO BRONCO-ALVEOLAR
201020025;COLETA DE LINFA P/ PESQUISA DE M. LEPRAE
201020033;COLETA DE MATERIAL PARA EXAME CITOPATOLÓGICO DE COLO DE ÚTERO
201020041;COLETA DE MATERIAL P/ EXAME LABORATORIAL
201020050;COLETA DE SANGUE P/ TRIAGEM NEONATAL
201020068;COLETA DE SANGUE PARA TIPIFICAÇÃO DO ALELO HLA-B
202010015;CLEARANCE OSMOLAR
202010023;DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO
202010031;DETERMINACAO DE CROMATOGRAFIA DE AMINOACIDOS
202010040;DETERMINACAO DE CURVA GLICEMICA (2 DOSAGENS)
202010058;DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA ( 5 DOSAGENS)
202010066;DETERMINACAO DE CURVA GLICEMICA C/ INDUCAO POR CORTISONA (4 DOSAGENS)
202010074;DETERMINACAO DE CURVA GLICEMICA CLASSICA (5 DOSAGENS)
202010082;DETERMINACAO DE OSMOLARIDADE
202010090;DOSAGEM DE 5-NUCLEOTIDASE
202010104;DOSAGEM DE ACETONA
202010112;DOSAGEM DE ACIDO ASCORBICO
202010120;DOSAGEM DE ACIDO URICO
202010139;DOSAGEM DE ACIDO VANILMANDELICO
202010147;DOSAGEM DE ALDOLASE
202010155;DOSAGEM DE ALFA-1-ANTITRIPSINA
202010163;DOSAGEM DE ALFA-1-GLICOPROTEINA ACIDA
202010171;DOSAGEM DE ALFA-2-MACROGLOBULINA
202010180;DOSAGEM DE AMILASE
202010198;DOSAGEM DE AMONIA
202010201;DOSAGEM DE BILIRRUBINA TOTAL E FRACOES
202010210;DOSAGEM DE CALCIO
202010228;DOSAGEM DE CALCIO IONIZAVEL
202010236;DOSAGEM DE CAROTENO
202010244;DOSAGEM DE CATECOLAMINAS
202010252;DOSAGEM DE CERULOPLASMINA
202010260;DOSAGEM DE CLORETO
202010279;DOSAGEM DE COLESTEROL HDL
202010287;DOSAGEM DE COLESTEROL LDL
202010295;DOSAGEM DE COLESTEROL TOTAL
202010309;DOSAGEM DE COLINESTERASE
202010317;DOSAGEM DE CREATININA
202010325;DOSAGEM DE CREATINOFOSFOQUINASE (CPK)
202010333;DOSAGEM DE CREATINOFOSFOQUINASE FRACAO MB
202010341;DOSAGEM DE DESIDROGENASE ALFA-HIDROXIBUTIRICA
202010350;DOSAGEM DE DESIDROGENASE GLUTAMICA
202010368;DOSAGEM DE DESIDROGENASE LATICA
202010376;DOSAGEM DE DESIDROGENASE LATICA (ISOENZIMAS FRACIONADAS)
202010384;DOSAGEM DE FERRITINA
202010392;DOSAGEM DE FERRO SERICO
202010406;DOSAGEM DE FOLATO
202010414;DOSAGEM DE FOSFATASE ACIDA TOTAL
202010422;DOSAGEM DE FOSFATASE ALCALINA
202010430;DOSAGEM DE FOSFORO
202010449;DOSAGEM DE FRACAO PROSTATICA DA FOSFATASE ACIDA
202010457;DOSAGEM DE GALACTOSE
202010465;DOSAGEM DE GAMA-GLUTAMIL-TRANSFERASE (GAMA GT)
202010473;DOSAGEM DE GLICOSE
202010481;DOSAGEM DE GLICOSE-6-FOSFATO DESIDROGENASE
202010490;DOSAGEM DE HAPTOGLOBINA
202010503;DOSAGEM DE HEMOGLOBINA GLICOSILADA
202010511;DOSAGEM DE HIDROXIPROLINA
202010520;DOSAGEM DE ISOMERASE-FOSFOHEXOSE
202010538;DOSAGEM DE LACTATO
202010546;DOSAGEM DE LEUCINO-AMINOPEPTIDASE
202010554;DOSAGEM DE LIPASE
202010562;DOSAGEM DE MAGNESIO
202010570;DOSAGEM DE MUCO-PROTEINAS
202010589;DOSAGEM DE PIRUVATO
202010597;DOSAGEM DE PORFIRINAS
202010600;DOSAGEM DE POTASSIO
202010619;DOSAGEM DE PROTEINAS TOTAIS
202010627;DOSAGEM DE PROTEINAS TOTAIS E FRACOES
202010635;DOSAGEM DE SODIO
202010643;DOSAGEM DE TRANSAMINASE GLUTAMICO-OXALACETICA (TGO)
202010651;DOSAGEM DE TRANSAMINASE GLUTAMICO-PIRUVICA (TGP)
202010660;DOSAGEM DE TRANSFERRINA
202010678;DOSAGEM DE TRIGLICERIDEOS
202010686;DOSAGEM DE TRIPTOFANO
202010694;DOSAGEM DE UREIA
202010708;DOSAGEM DE VITAMINA B12
202010716;ELETROFORESE DE LIPOPROTEINAS
202010724;ELETROFORESE DE PROTEINAS
202010732;GASOMETRIA (PH PCO2 PO2 BICARBONATO AS2 (EXCESSO OU DEFICIT BASE )
202010740;PROVA DA D-XILOSE
202010759;TESTE DE TOLERANCIA A INSULINA / HIPOGLICEMIANTES ORAIS
202010767;DOSAGEM DE 25 HIDROXIVITAMINA D
202010775;DETERMINAÇÃO DE CREMATÓCRITO NO LEITE HUMANO ORDENHADO
202010783;ACIDEZ TITULÁVEL NO LEITE HUMANO (DORNIC)
202010791;DOSAGEM DE PEPTÍDEOS NATRIURÉTICOS TIPO B (BNP E NT-PROBNP)
202020010;CITOQUIMICA HEMATOLOGICA
202020029;CONTAGEM DE PLAQUETAS
202020037;CONTAGEM DE RETICULOCITOS
202020045;DETERMINAÇÃO DE CURVA DE RESISTÊNCIA GLOBULAR
202020053;DETERMINACAO DE ENZIMAS ERITROCITARIAS (CADA)
202020061;DETERMINAÇÃO DE SULFO-HEMOGLOBINA
202020070;DETERMINAÇÃO DE TEMPO DE COAGULAÇÃO
202020088;DETERMINAÇÃO DE TEMPO DE LISE DA EUGLOBULINA
202020096;DETERMINAÇÃO DE TEMPO DE SANGRAMENTO -DUKE
202020100;DETERMINAÇÃO DE TEMPO DE SANGRAMENTO DE IVY
202020118;DETERMINACAO DE TEMPO DE SOBREVIDA DE HEMACIAS
202020126;DETERMINAÇÃO DE TEMPO DE TROMBINA
202020134;DETERMINAÇÃO DE TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA (TTP ATIVADA)
202020142;DETERMINAÇÃO DE TEMPO E ATIVIDADE DA PROTROMBINA (TAP)
202020150;DETERMINAÇÃO DE VELOCIDADE DE HEMOSSEDIMENTAÇÃO (VHS)
202020169;DOSAGEM DE ANTICOAGULANTE CIRCULANTE
202020177;DOSAGEM DE ANTITROMBINA III
202020185;DOSAGEM DE FATOR II
202020193;DOSAGEM DE FATOR IX
202020207;DOSAGEM DE FATOR V
202020215;DOSAGEM DE FATOR VII
202020223;DOSAGEM DE FATOR VIII
202020231;DOSAGEM DE FATOR VIII (INIBIDOR)
202020240;DOSAGEM DE FATOR VON WILLEBRAND (ANTIGENO)
202020258;DOSAGEM DE FATOR X
202020266;DOSAGEM DE FATOR XI
202020274;DOSAGEM DE FATOR XII
202020282;DOSAGEM DE FATOR XIII
202020290;DOSAGEM DE FIBRINOGENIO
202020304;DOSAGEM DE HEMOGLOBINA
202020312;DOSAGEM DE HEMOGLOBINA - INSTABILIDADE A 37OC
202020320;DOSAGEM DE HEMOGLOBINA FETAL
202020339;DOSAGEM DE HEMOSSIDERINA
202020347;DOSAGEM DE PLASMINOGENIO
202020355;ELETROFORESE DE HEMOGLOBINA
202020363;ERITROGRAMA (ERITROCITOS, HEMOGLOBINA, HEMATOCRITO)
202020371;HEMATOCRITO
202020380;HEMOGRAMA COMPLETO
202020398;LEUCOGRAMA
202020401;PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA
202020410;PESQUISA DE CELULAS LE
202020428;PESQUISA DE CORPUSCULOS DE HEINZ
202020436;PESQUISA DE FILARIA
202020444;PESQUISA DE HEMOGLOBINA S
202020452;PESQUISA DE PLASMODIO
202020460;PESQUISA DE TRIPANOSSOMA
202020479;PROVA DE COMPATIBILIDADE PRE-TRANSFUSIONAL (MEIOS SALINOS, ALBUMINOSO E COOMBS)
202020487;PROVA DE CONSUMO DE PROTROMBINA
202020495;PROVA DE RETRACAO DO COAGULO
202020509;PROVA DO LACO
202020517;RASTREIO P/ DEFICIENCIA DE ENZIMAS ERITROCITARIAS
202020525;TESTE DE AGREGACAO DE PLAQUETAS
202020533;TESTE DE HAM (HEMOLISE ACIDA)
202020541;TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD)
202030016;CONTAGEM DE LINFOCITOS B
202030024;CONTAGEM DE LINFOCITOS CD4/CD8
202030032;CONTAGEM DE LINFOCITOS T TOTAIS
202030040;DETECÇÃO DE ÁCIDOS NUCLEICOS DO HIV-1 (QUALITATIVO)
202030059;DETECÇÃO DE RNA DO VÍRUS DA HEPATITE C (QUALITATIVO)
202030067;DETERMINAÇÃO DE COMPLEMENTO (CH50)
202030075;DETERMINAÇÃO DE FATOR REUMATOIDE
202030083;DETERMINAÇÃO QUANTITATIVA DE PROTEÍNA C REATIVA
202030091;DOSAGEM DE ALFA-FETOPROTEINA
202030105;DOSAGEM DE ANTIGENO PROSTATICO ESPECIFICO (PSA)
202030113;DOSAGEM DE BETA-2-MICROGLOBULINA
202030121;DOSAGEM DE COMPLEMENTO C3
202030130;DOSAGEM DE COMPLEMENTO C4
202030148;DOSAGEM DE CRIOAGLUTININA
202030156;DOSAGEM DE IMUNOGLOBULINA A (IGA)
202030164;DOSAGEM DE IMUNOGLOBULINA E (IGE)
202030172;DOSAGEM DE IMUNOGLOBULINA G (IGG)
202030180;DOSAGEM DE IMUNOGLOBULINA M (IGM)
202030199;DOSAGEM DE INIBIDOR DE C1-ESTERASE
202030202;DOSAGEM DE PROTEINA C REATIVA
202030210;GENOTIPAGEM DE VIRUS DA HEPATITE C
202030229;IMUNOELETROFORESE DE PROTEINAS
202030237;IMUNOFENOTIPAGEM DE HEMOPATIAS MALIGNAS (POR MARCADOR)
202030245;INTRADERMORREACAO COM DERIVADO PROTEICO PURIFICADO (PPD)
202030253;PESQUISA DE ANTICORPO IGG ANTICARDIOLIPINA
202030261;PESQUISA DE ANTICORPO IGM ANTICARDIOLIPINA
202030270;PESQUISA DE ANTICORPOS ANTI-DNA
202030288;PESQUISA DE ANTICORPOS ANTI-HELICOBACTER PYLORI
202030296;PESQUISA DE ANTICORPOS ANTI-HIV-1 (WESTERN BLOT)
202030300;PESQUISA DE ANTICORPOS ANTI-HIV-1 + HIV-2 (ELISA)
202030318;PESQUISA DE ANTICORPOS ANTI-HTLV-1 + HTLV-2
202030326;PESQUISA DE ANTICORPOS ANTI-RIBONUCLEOPROTEINA (RNP)
202030334;PESQUISA DE ANTICORPOS ANTI-SCHISTOSOMAS
202030342;PESQUISA DE ANTICORPOS ANTI-SM
202030350;PESQUISA DE ANTICORPOS ANTI-SS-A (RO)
202030369;PESQUISA DE ANTICORPOS ANTI-SS-B (LA)
202030377;PESQUISA DE ANTICORPOS ANTIADENOVIRUS
202030385;PESQUISA DE ANTICORPOS ANTIAMEBAS
202030393;PESQUISA DE ANTICORPOS ANTIASPERGILLUS
202030407;PESQUISA DE ANTICORPOS ANTIBRUCELAS
202030415;PESQUISA DE ANTICORPOS ANTICISTICERCO
202030423;PESQUISA DE ANTICORPOS ANTICLAMIDIA (POR IMUNOFLUORESCENCIA)
202030431;PESQUISA DE ANTICORPOS ANTICORTEX SUPRARENAL
202030440;PESQUISA DE ANTICORPOS ANTIEQUINOCOCOS
202030458;PESQUISA DE ANTICORPOS ANTIESCLERODERMA (SCL 70)
202030466;PESQUISA DE ANTICORPOS ANTIESPERMATOZOIDES
202030474;PESQUISA DE ANTICORPOS ANTIESTREPTOLISINA O (ASLO)
202030482;PESQUISA DE ANTICORPOS ANTIFIGADO
202030490;PESQUISA DE ANTICORPOS ANTIGLIADINA (GLUTEN) IGG IGM E IGA
202030504;PESQUISA DE ANTICORPOS ANTIGLOMERULO
202030512;PESQUISA DE ANTICORPOS ANTIILHOTA DE LANGERHANS
202030520;PESQUISA DE ANTICORPOS ANTIINSULINA
202030539;PESQUISA DE ANTICORPOS ANTILEPTOSPIRAS
202030547;PESQUISA DE ANTICORPOS ANTILISTERIA
202030555;PESQUISA DE ANTICORPOS ANTIMICROSSOMAS
202030563;PESQUISA DE ANTICORPOS ANTIMITOCONDRIA
202030571;PESQUISA DE ANTICORPOS ANTIMUSCULO ESTRIADO
202030580;PESQUISA DE ANTICORPOS ANTIMUSCULO LISO
202030598;PESQUISA DE ANTICORPOS ANTINUCLEO
202030601;PESQUISA DE ANTICORPOS ANTIPARIETAIS
202030610;PESQUISA DE ANTICORPOS ANTIPLASMODIOS
202030628;PESQUISA DE ANTICORPOS ANTITIREOGLOBULINA
202030636;PESQUISA DE ANTICORPOS CONTRA ANTIGENO DE SUPERFICIE DO VIRUS DA HEPATITE B (ANTI-HBS)
202030644;PESQUISA DE ANTICORPOS CONTRA ANTIGENO E DO VIRUS DA HEPATITE B (ANTI-HBE)
202030652;PESQUISA DE ANTICORPOS CONTRA HISTOPLASMA
202030660;PESQUISA DE ANTICORPOS CONTRA O SPOROTRIX SCHENKII
202030679;PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV)
202030687;PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE D (ANTI-HDV)
202030695;PESQUISA DE ANTICORPOS CONTRA O VIRUS DO SARAMPO
202030709;PESQUISA DE ANTICORPOS CONTRA PARACOCCIDIOIDES BRASILIENSIS
202030717;PESQUISA DE ANTICORPOS E/OU ANTIGENO DO VIRUS SINCICIAL RESPIRATORIO
202030725;PESQUISA DE ANTICORPOS EIE ANTICLAMIDIA
202030733;PESQUISA DE ANTICORPOS HETEROFILOS CONTA O VIRUS EPSTEIN-BARR
202030741;PESQUISA DE ANTICORPOS IGG ANTICITOMEGALOVIRUS
202030750;PESQUISA DE ANTICORPOS IGG ANTILEISHMANIAS
202030768;PESQUISA DE ANTICORPOS IGG ANTITOXOPLASMA
